CustomerID,Recency,Frequency,Monetary,RecencyScore,FrequencyScore,MonetaryScore,Score,Segment
12346.0,325,1,77183.6,1,1,4,114,Kayip M.
12347.0,1,7,4310.0,4,4,4,444,Daimi M.
12348.0,74,4,1797.24,2,3,4,234,Riskli M.
12349.0,18,1,1757.55,3,1,4,314,Yeni M.
12350.0,309,1,334.4,1,1,2,112,Kayip M.
12352.0,35,8,2506.04,3,4,4,344,Sadik M.
12353.0,203,1,89.0,1,1,1,111,Kayip M.
12354.0,231,1,1079.4,1,1,3,113,Kayip M.
12355.0,213,1,459.4,1,1,2,112,Kayip M.
12356.0,22,3,2811.43,3,3,4,334,Sadik M.
12357.0,32,1,6207.67,3,1,4,314,Yeni M.
12358.0,1,2,1168.06,4,2,3,423,Yeni M.
12359.0,57,4,6372.58,2,3,4,234,Riskli M.
12360.0,51,3,2662.06,2,3,4,234,Riskli M.
12361.0,286,1,189.9,1,1,1,111,Kayip M.
12362.0,2,10,5226.23,4,4,4,444,Daimi M.
12363.0,109,2,552.0,2,2,2,222,Kayip M.
12364.0,7,4,1313.1,4,3,3,433,Sadik M.
12365.0,290,2,641.38,1,2,2,122,Kayip M.
12367.0,3,1,168.9,4,1,1,411,Yeni M.
12370.0,50,4,3545.69,3,3,4,334,Sadik M.
12371.0,44,2,1887.96,3,2,4,324,Yeni M.
12372.0,71,3,1298.04,2,3,3,233,Riskli M.
12373.0,310,1,364.6,1,1,2,112,Kayip M.
12374.0,24,1,742.9300000000001,3,1,3,313,Yeni M.
12375.0,10,2,457.5,4,2,2,422,Yeni M.
12377.0,314,2,1628.12,1,2,3,123,Kayip M.
12378.0,129,1,4008.62,2,1,4,214,Kayip M.
12379.0,81,2,852.24,2,2,3,223,Kayip M.
12380.0,21,4,2724.81,3,3,4,334,Sadik M.
12381.0,4,5,1845.31,4,3,4,434,Sadik M.
12383.0,184,5,1850.56,1,3,4,134,Riskli M.
12384.0,28,2,585.27,3,2,2,322,Yeni M.
12386.0,337,2,401.9,1,2,2,122,Kayip M.
12388.0,15,6,2780.66,4,4,4,444,Daimi M.
12390.0,79,1,549.84,2,1,2,212,Kayip M.
12391.0,21,1,460.89,3,1,2,312,Yeni M.
12393.0,71,4,1582.6000000000001,2,3,3,233,Riskli M.
12394.0,63,2,1272.48,2,2,3,223,Kayip M.
12395.0,18,12,3018.63,3,4,4,344,Sadik M.
12397.0,35,2,2409.9,3,2,4,324,Yeni M.
12398.0,45,1,1635.6599999999999,3,1,3,313,Yeni M.
12399.0,118,4,1108.65,2,3,3,233,Riskli M.
12401.0,302,1,84.3,1,1,1,111,Kayip M.
12402.0,322,1,225.6,1,1,1,111,Kayip M.
12403.0,49,1,427.7,3,1,2,312,Yeni M.
12405.0,148,1,1710.39,1,1,4,114,Kayip M.
12406.0,21,2,3415.3,3,2,4,324,Yeni M.
12407.0,49,5,1708.1200000000001,3,3,4,334,Sadik M.
12408.0,32,5,2888.55,3,3,4,334,Sadik M.
12409.0,78,3,11072.67,2,3,4,234,Riskli M.
12410.0,308,2,693.3299999999999,1,2,3,123,Kayip M.
12412.0,74,3,1226.88,2,3,3,233,Riskli M.
12413.0,66,3,758.1,2,3,3,233,Riskli M.
12414.0,216,3,562.41,1,3,2,132,Riskli M.
12415.0,23,21,124914.53,3,4,4,344,Sadik M.
12417.0,2,9,3649.1,4,4,4,444,Daimi M.
12418.0,112,1,668.58,2,1,2,212,Kayip M.
12420.0,63,1,600.39,2,1,2,212,Kayip M.
12421.0,15,4,807.04,4,3,3,433,Sadik M.
12422.0,95,3,803.5600000000001,2,3,3,233,Riskli M.
12423.0,0,8,1859.31,4,4,4,444,Daimi M.
12424.0,162,2,1760.96,1,2,4,124,Kayip M.
12425.0,77,1,777.2,2,1,3,213,Kayip M.
12426.0,194,1,582.73,1,1,2,112,Kayip M.
12427.0,21,3,825.8,3,3,3,333,Sadik M.
12428.0,25,9,7956.46,3,4,4,344,Sadik M.
12429.0,8,4,3750.4,4,3,4,434,Sadik M.
12430.0,42,1,256.4,3,1,1,311,Yeni M.
12431.0,35,15,6487.45,3,4,4,344,Sadik M.
12432.0,42,5,5059.32,3,3,4,334,Sadik M.
12433.0,0,7,13375.87,4,4,4,444,Daimi M.
12434.0,84,2,806.14,2,2,3,223,Kayip M.
12435.0,79,2,7829.89,2,2,4,224,Kayip M.
12436.0,99,1,509.01,2,1,2,212,Kayip M.
12437.0,1,18,4951.41,4,4,4,444,Daimi M.
